WN,MCI,616,743,0
WN,BWI,1718,1839,0
YV,CLT,741,827,0
UA,IAH,2104,2257,0
US,PHL,1814,1956,0
AA,MIA,1925,2141,0
MQ,CMH,1959,2003,0
AA,IND,1717,1849,1
DL,LGA,707,912,0
EV,RDU,1433,1620,0
UA,ORD,1749,2111,0
US,CLT,1804,1928,0
WN,LAX,1425,1945,0
EV,ORD,1301,1502,0
AA,DEN,743,1032,0
F9,DEN,1751,1854,0
EV,ATL,2205,2253,0
UA,ORD,1501,1741,0
EV,ATL,1611,1724,0
AA,LAX,2129,521,0
B6,JFK,2015,2236,1
EV,EWR,1745,2017,1
EV,FSD,1325,1447,0
EV,CLE,1658,1803,0
MQ,DFW,?,?,?
DL,DCA,1240,1412,0
AA,SJC,841,1400,0
VX,LAS,555,716,0
DL,PVD,1902,2127,1
DL,BTV,721,1002,0
AA,LAX,641,755,0
US,DCA,2156,2257,0
UA,CLE,?,?,?
UA,IAH,1555,1853,1
FL,ATL,840,947,0
WN,HOU,?,?,?
EV,ATL,935,1016,0
UA,ORD,1215,1418,0
DL,ATL,1559,1733,0
DL,SRQ,1248,1419,0
DL,MSP,1507,1701,0
AA,DFW,1332,1806,0
AA,PIT,649,838,0
AA,DFW,1619,1713,0
WN,DEN,1939,2250,1
MQ,DFW,1113,1217,0
DL,MSP,1134,1321,0
AA,MCO,636,831,0
EV,DTW,1940,2024,0
EV,DFW,1229,1339,0
B6,BWI,1554,1708,0
EV,ORD,2012,2301,0
AA,SAT,1948,2120,1
AS,SFO,1645,1833,0
US,DCA,1125,1241,0
OO,SBA,616,706,0
OO,SLC,1452,1548,0
WN,LAS,1055,1213,0
WN,ONT,722,838,0
UA,IAH,1300,1551,1
WN,RDU,540,608,0
AS,SEA,717,950,0
UA,MCO,1140,1403,1
9E,DTW,2015,2053,0
9E,DTW,1349,1525,0
FL,FNT,1120,1357,0
OO,SFO,824,946,0
OO,DIK,602,841,0
UA,PHL,558,923,0
US,PHX,1457,2156,0
OO,LAS,1600,1706,0
WN,LAX,2107,2346,1
EV,MSP,1209,1320,0
WN,DAL,2139,2221,0
EV,EWR,2305,33,1
EV,CLE,831,924,0
DL,ATL,1734,1932,0
EV,ALB,1351,1508,0
UA,IAD,2005,2130,1
AA,DFW,1745,1802,0
US,PHL,2032,2142,0
WN,DAL,?,?,?
EV,DFW,1708,1757,0
US,STL,649,1000,1
DL,SNA,841,1547,0
AA,DFW,1324,1443,0
EV,LGA,1826,2006,1
FL,PIT,627,859,0
EV,ORD,950,1140,0
EV,CSG,1128,1210,0
EV,AVL,1524,1624,1
UA,IAH,947,1255,0
US,PHX,1000,1711,0
WN,SJC,1403,1719,0
AS,SEA,1240,1818,0
WN,GEG,1736,1930,1
OO,OTH,1205,1413,1
EV,SDF,1711,1801,0
OO,SAN,2047,2135,1
AS,SEA,1801,2221,0
WN,PHX,1455,1748,1
AA,SAT,2130,2320,1
UA,IAD,1519,1821,0
WN,STL,2043,2154,0
US,PHL,807,1027,0
EV,IAD,2205,2315,0
WN,MEM,645,820,0
AS,SEA,1425,1559,0
UA,PHL,1859,2113,0
MQ,LSE,1355,1502,0
WN,SFO,958,1115,0
F9,DEN,1923,2239,0
WN,MAF,556,656,0
9E,SYR,?,?,?
DL,MCO,825,957,0
EV,MEM,1840,2210,1
B6,BUF,1940,2101,1
UA,MCO,1424,1614,0
MQ,MSN,557,649,0
UA,IAH,1449,1626,0
OO,GJT,1817,1857,0
OO,DEN,1933,2105,0
US,PHX,843,900,0
DL,ATL,1046,1203,0
OO,ABQ,933,1050,0
AS,SEA,1241,1836,0
WN,OKC,1219,1253,0
WN,MDW,833,950,1
XE,DAL,931,1039,0
OO,SEA,1409,1456,0
MQ,ATL,1002,1159,0
EV,ORD,628,921,0
WN,SLC,743,835,0
AS,SEA,706,922,0
WN,MCO,1326,1413,0
WN,DEN,1911,29,1
DL,BOS,650,1033,0
AS,SEA,2039,2253,0
OO,DEN,1942,2019,0
WN,SAN,1259,1423,1
DL,PHX,1024,1652,1
EV,CLE,557,742,0
WN,DTW,1701,1959,0
WN,LAX,2327,37,1
UA,BWI,617,917,1
DL,LAX,2153,531,0
DL,BIL,1327,1615,0
DL,JFK,2143,2303,0
